OID_,fd_id,bid,cbfips,st_damcat,occtype,bldgtype,number_of_story,sqft,foundation,FFE,med_yr_blt,BRV,val_cont,val_vehic,ftprntid,ftprntsrc,source,students,pop2amu65,pop2amo65,pop2pmu65,pop2pmo65,o65disable,u65disable,y_column,x_column,flood_zone,grnd_elv_m,DEM,R10,R50,R100,R500
8551832,485736287,76X6MGH5+5MR-3-4-4-3,4.82E+14,RES,RES1-1SNB,W,1,2001,no_basement,0.5,1964,234063.459,117031.729,27000,48201_61377,Bing,P,0,2,0,1,0,0.24,0.03,29.67797622,-95.49084659,A/AE,16.80224228,55.12546856,55.45963,57.12374,57.86629,59.3346
8551834,485736291,76X6MGH5+4R7-4-4-5-4,4.82E+14,RES,RES1-2SNB,W,2,5322,no_basement,1.5,1964,442216.464,221108.232,27000,48201_61380,Bing,P,0,2,0,1,0,0.24,0.03,29.67777851,-95.49045034,A/AE,16.68550301,54.74246568,55.39798,57.08348,57.83313,59.30865
8551838,485736299,76X6MGH5+7RP-4-4-3-4,4.82E+14,RES,RES1-1SNB,W,1,1781,no_basement,0.5,1964,217198.357,108599.178,27000,48201_61386,Bing,P,0,2,1,1,1,0.24,0.03,29.67821575,-95.49042517,A/AE,16.7715435,55.02475079,55.39954,57.08449,57.83396,59.3093
8551840,485736303,76X6MGH5+6VX-3-2-2-3,4.82E+14,RES,RES1-3SNB,W,2,2197,no_basement,0.5,1964,265476.542,132738.271,27000,48201_61388,Bing,P,0,2,0,1,0,0.24,0.03,29.6781207,-95.49026926,A/AE,16.89699173,55.43632635,55.38396,57.07432,57.82559,59.30274
8551844,485736310,76X6MGH5+7GJ-4-4-3-4,4.82E+14,RES,RES1-1SNB,W,1,2413,no_basement,0.5,1964,261739.125,130869.562,27000,48201_61392,Bing,P,0,2,0,1,0,0.24,0.03,29.67822463,-95.49123076,A/AE,16.91086006,55.48182612,55.52054,57.16351,57.89904,59.36024
8551846,485736312,76X6MGH5+6HX-5-4-5-4,4.82E+14,RES,RES1-1SNB,W,1,2642,no_basement,0.5,1964,276303.831,138151.915,27000,48201_61393,Bing,P,0,2,0,1,0,0.24,0.03,29.67811062,-95.49101921,A/AE,16.73442459,54.90296958,55.49046,57.14387,57.88287,59.34757
8551848,485736316,76X6MGH5+F62-4-4-3-4,4.82E+14,RES,RES1-1SNB,W,1,2028,no_basement,0.5,1964,236085.166,118042.583,27000,48201_61395,Bing,P,0,2,0,1,0,0.24,0.03,29.67864194,-95.49198653,A/AE,16.92933655,55.54244452,55.62898,57.23432,57.95736,59.40588
8551849,485736318,76X6MGH5+8QC-4-4-4-3,4.82E+14,RES,RES1-1SNB,W,1,1912,no_basement,0.5,1964,227502.516,113751.258,27000,48201_61396,Bing,P,0,2,0,1,0,0.24,0.03,29.67830842,-95.49059915,A/AE,16.88902664,55.41019417,55.43036,57.10462,57.85054,59.32227
8551850,485736319,76X6MGH5+8CG-5-4-5-4,4.82E+14,RES,RES1-1SNB,W,1,2872,no_basement,0.5,1964,290309.847,145154.923,27000,48201_61397,Bing,P,0,2,0,1,0,0.24,0.03,29.67831217,-95.49142094,A/AE,16.8467865,55.27161102,55.54691,57.18073,57.91323,59.37134
8551851,485736325,76X6MGH5+97V-3-3-3-3,4.82E+14,RES,RES1-1SNB,W,1,1825,no_basement,0.5,1964,220745.977,110372.988,27000,48201_61398,Bing,P,0,2,0,1,0,0.24,0.03,29.678496,-95.491837,A/AE,16.91672707,55.50107483,55.61138,57.22282,57.9479,59.39848
8551854,485736331,76X6MGH5+5P5-3-4-4-4,4.82E+14,RES,RES1-1SNB,W,1,2165,no_basement,0.5,1964,245877.09,122938.545,27000,48201_61402,Bing,P,0,2,0,1,0,0.24,0.03,29.67787785,-95.49063988,A/AE,16.87457085,55.36276702,55.42881,57.10361,57.84971,59.32162
8551880,485736336,76X6MGH5+Q2X-4-3-3-3,4.82E+14,RES,RES1-1SNB,W,1,2152,no_basement,0.5,1964,244981.39,122490.695,27000,48201_61406,Bing,P,0,2,1,1,1,0.24,0.03,29.67949399,-95.49238482,A/AE,16.97698975,55.69878704,55.66443,57.22464,57.9381,59.3756
8577118,485761606,76X6MGGF+345-3-2-4-2,4.82E+14,RES,RES1-1SNB,W,1,2088,no_basement,0.5,1964,258688.316,129344.158,27000,48201_64791,Bing,P,0,2,0,1,0,0.24,0.03,29.67513059,-95.47714225,A/AE,16.19199181,53.1233344,54.51936,56.00104,56.81704,58.31713
8577119,485761607,76X6MGGF+44Q-4-2-3-3,4.82E+14,RES,RES1-1SNB,W,1,2177,no_basement,0.5,1964,264961.827,132480.913,27000,48201_64792,Bing,P,0,2,0,1,0,0.24,0.03,29.67533669,-95.4771445,A/AE,16.02788925,52.58494017,54.51897,56.00068,56.81673,58.31687
8577120,485761608,76X6MGGC+4XV-3-5-4-4,4.82E+14,RES,RES1-2SNB,M,2,4261,no_basement,0.5,1964,405446.585,202723.292,27000,48201_64793,Bing,P,0,2,0,1,0,0.24,0.03,29.67535175,-95.47757702,A/AE,15.97149563,52.39992172,54.53595,56.01639,56.83033,58.32828
8577121,485761609,76X6MGFC+XXF-4-3-3-3,4.82E+14,RES,RES1-2SNB,W,2,2826,no_basement,1.5,1964,306190.786,153095.393,27000,48201_64794,Bing,P,0,3,1,2,1,0.24,0.03,29.67494657,-95.47758597,A/AE,16.1402626,52.95361916,54.53569,56.01614,56.83012,58.32811
8577122,485761610,76X6MGFC+VXV-4-6-3-4,4.82E+14,RES,RES1-1SNB,W,1,2757,no_basement,0.5,1964,303755.973,151877.986,27000,48201_64795,Bing,P,0,2,0,1,0,0.24,0.03,29.67473625,-95.47757208,A/AE,16.48737144,54.09242773,54.53554,56.016,56.82999,58.328
8577124,485761612,76X6MGGC+3H4-4-5-4-4,4.82E+14,RES,RES1-1SNB,W,1,2375,no_basement,0.5,1964,277524.628,138762.314,27000,48201_64797,Bing,P,0,3,1,2,1,0.24,0.03,29.67513286,-95.47854345,A/AE,16.11532211,52.8717934,54.57803,56.06294,56.87357,58.36755
8577125,485761613,76X6MGFF+W44-3-2-4-3,4.82E+14,RES,RES1-1SNB,W,1,2282,no_basement,0.5,1964,271863.463,135931.731,27000,48201_64798,Bing,P,0,3,0,2,0,0.24,0.03,29.67475231,-95.47718076,A/AE,16.15843582,53.01324258,54.52013,56.00175,56.81766,58.31765
8577126,485761614,76X6MGFC+XP9-4-3-3-4,4.82E+14,RES,RES1-1SNB,W,1,2491,no_basement,0.5,1964,285702.123,142851.061,27000,48201_64803,Bing,P,0,2,0,1,0,0.24,0.03,29.67491974,-95.47814936,A/AE,16.19877434,53.1455868,54.55645,56.0389,56.85118,58.34716
8577127,485761615,76X6MGGC+5H9-6-4-6-3,4.82E+14,RES,RES1-1SNB,W,1,3015,no_basement,0.5,1964,321417.285,160708.642,27000,48201_64804,Bing,P,0,2,0,1,0,0.24,0.03,29.67541403,-95.47851687,A/AE,16.07950974,52.75429872,54.57877,56.06377,56.87435,58.36825
8577129,485761616,76X6MGGC+3X4-3-5-4-3,4.82E+14,RES,RES1-1SNB,W,1,2090,no_basement,1.5,1964,258833.562,129416.781,27000,48201_64805,Bing,P,0,3,1,2,1,0.24,0.03,29.675138,-95.47754515,A/AE,16.18373489,53.09624479,54.53579,56.01624,56.8302,58.32818
8577130,485761617,76X6MGFF+X4H-3-2-3-2,4.82E+14,RES,RES1-1SNB,W,1,2036,no_basement,0.5,1964,254843.033,127421.516,27000,48201_64807,Bing,P,0,3,1,2,1,0.24,0.03,29.6749371,-95.47713725,A/AE,16.27101135,53.38258489,54.51974,56.0014,56.81735,58.3174
